,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
1969,0,68177,1,2,11,2016,0,1,25,9,25.2,1248,74.0,190.0,5.0,12,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
1971,3,75471,1,1,11,2017,0,1,25,9,23.65,1248,88.5,200.0,5.0,12,4,4,1,4300.0,1785.0,1595.0,2600.0,5,3,0,0,1,5,1
1972,4,8000,1,1,6,2021,0,3,25,9,18.6,1199,88.5,110.0,5.0,11,4,4,0,3995.0,1695.0,1498.0,2470.0,5,1,0,1,1,4,1
1976,0,60730,1,1,11,2017,0,3,25,9,23.95,998,67.05,90.0,5.0,4,3,4,0,3545.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,1
1977,4,44494,1,2,11,2016,0,3,25,8,20.85,1197,83.14,115.0,5.0,4,4,4,0,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,1
1981,4,51878,1,1,7,2017,2,3,25,9,17.01,1591,121.3,154.9,5.0,8,4,4,0,4375.0,1700.0,1475.0,2570.0,5,3,0,1,1,4,1
1982,0,56747,0,1,13,2017,2,3,25,9,19.15,1198,75.94,104.0,5.0,1,3,4,0,3825.0,1665.0,1530.0,2450.0,0,3,0,1,1,5,1
1983,0,38000,1,1,11,2018,0,3,25,9,20.4,1197,81.8,113.0,5.0,12,4,4,0,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,1
1984,0,76457,1,2,7,2016,3,3,25,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,1
1985,0,78880,1,2,6,2017,0,3,25,9,18.7,1199,88.7,110.0,5.0,12,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,1
