,bt,km,transmission,ownerNo,oem,modelYear,Insurance Validity,Fuel Type,RTO,Features,Mileage,Engine,Max Power,Torque,Seats,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
5009,0,38607,0,2,11,2018,0,3,26,9,23.1,998,67.04,90.0,5.0,11,3,4,0,3695.0,1600.0,1560.0,2425.0,5,3,0,1,1,5,3
5010,0,48934,0,2,7,2019,2,3,26,9,17.4,1197,81.86,117.0,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5011,0,73000,1,1,7,2018,2,3,26,9,18.6,1197,81.86,114.73,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5012,0,31933,1,2,11,2014,2,3,2,8,22.05,796,47.33,69.0,5.0,10,3,4,0,3445.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,3
5013,0,54959,1,1,11,2013,2,3,2,9,18.9,998,67.1,90.0,5.0,1,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,3
5017,0,73889,1,1,11,2014,0,3,26,9,22.38,1197,88.5,113.0,5.0,10,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5018,0,44363,1,2,15,2019,2,3,26,9,22.3,799,53.26,72.0,5.0,12,3,4,0,3731.0,1579.0,1474.0,2422.0,5,1,0,1,1,5,3
5020,4,50151,1,1,7,2017,2,3,26,9,17.01,1591,121.3,154.9,5.0,0,4,4,0,4375.0,1700.0,1475.0,2570.0,5,3,0,1,1,4,3
5021,0,120000,1,1,7,2010,2,2,29,9,13.45,1086,62.1,96.1,5.0,8,3,4,0,3565.0,1525.0,1590.0,2380.0,5,3,0,1,1,5,3
5025,3,72253,1,1,7,2019,1,3,26,9,18.27,998,118.35,171.6,5.0,1,3,4,1,3995.0,1770.0,1605.0,2500.0,6,3,0,1,0,5,3
5027,0,46000,1,1,0,2012,2,3,2,8,18.6,1199,79.4,108.0,5.0,4,4,4,0,3640.0,1595.0,1520.0,2375.0,5,3,0,1,1,5,3
5029,0,61201,1,1,11,2013,0,3,2,9,20.51,998,67.04,90.0,5.0,8,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5031,0,46563,1,2,11,2016,2,3,26,9,20.51,998,67.04,90.0,5.0,10,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5032,0,41085,1,1,7,2016,2,3,26,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5033,0,90000,1,1,4,2010,2,1,2,9,20.0,1399,68.0,160.0,5.0,5,4,4,0,3795.0,1680.0,1427.0,2489.0,5,3,0,1,1,5,3
5034,0,50260,1,1,7,2013,0,3,2,9,18.5,1197,82.85,113.7,5.0,12,4,4,0,3995.0,1710.0,1505.0,2525.0,5,3,0,1,1,5,3
5035,0,55000,1,1,4,2010,2,3,2,9,15.6,1196,70.0,102.0,5.0,4,4,4,0,3795.0,1680.0,1427.0,2489.0,5,3,0,1,1,5,3
5036,0,107913,1,2,11,2014,2,3,2,9,25.24,998,65.71,89.0,5.0,10,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,3
5037,0,52858,1,1,11,2017,0,3,26,9,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5039,0,41832,1,2,15,2016,0,3,26,9,23.01,999,67.0,91.0,5.0,8,3,4,0,3679.0,1579.0,1478.0,2422.0,5,3,0,1,1,5,3
5040,0,61000,1,1,2,2014,2,3,26,9,20.63,1198,67.0,104.0,5.0,11,3,4,0,3785.0,1635.0,1490.0,2450.0,5,3,0,1,1,5,3
5042,0,44000,1,1,11,2011,2,3,2,8,18.5,1197,85.8,114.0,5.0,11,4,4,0,3775.0,1680.0,1620.0,2360.0,5,3,0,1,1,5,3
5044,1,45430,0,1,15,2021,0,3,26,9,18.2,999,71.0,96.0,7.0,12,3,4,0,3990.0,1739.0,1643.0,2636.0,5,1,0,1,1,5,3
5045,3,10000,0,1,19,2022,2,3,26,9,18.41,999,113.98,178.0,5.0,12,3,4,1,4221.0,1760.0,1612.0,2651.0,6,1,0,1,1,5,3
5046,3,50000,1,1,13,2021,2,3,26,9,18.75,999,71.02,96.0,5.0,11,3,4,0,3994.0,1758.0,1572.0,2500.0,5,1,0,1,1,5,3
5048,0,52507,1,1,11,2014,0,3,26,9,22.38,1197,88.5,113.0,5.0,1,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5049,4,47495,1,1,19,2019,2,3,26,9,19.44,999,75.0,95.0,5.0,12,3,4,0,3995.0,1682.0,1483.0,2470.0,5,3,0,1,1,4,3
5050,0,50000,1,2,2,2017,2,3,2,9,22.7,799,53.64,72.0,5.0,12,3,4,0,3429.0,1560.0,1541.0,2348.0,5,3,0,1,1,5,3
5051,0,89899,0,1,11,2019,2,3,26,9,22.56,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5052,0,39992,1,2,15,2017,2,3,26,9,23.01,999,67.0,91.0,5.0,8,3,4,0,3679.0,1579.0,1478.0,2422.0,5,3,0,1,1,5,3
5054,0,89791,1,1,11,2013,2,3,2,9,18.9,998,67.1,90.0,5.0,11,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,3
5055,0,83000,1,1,11,2006,2,3,29,9,18.9,998,67.0,90.0,5.0,4,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5056,0,114071,1,2,7,2015,0,3,26,9,18.9,1197,82.0,114.0,5.0,10,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5057,0,66445,1,2,11,2015,0,3,26,9,20.51,998,67.04,90.0,5.0,11,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5058,3,30000,0,1,19,2021,2,3,29,9,18.41,999,113.98,178.0,5.0,8,3,4,1,4221.0,1760.0,1612.0,2651.0,6,1,0,1,1,5,3
5059,3,96615,1,1,6,2018,2,1,26,9,25.5,1498,98.6,200.0,5.0,12,4,4,1,3999.0,1734.0,1601.0,2555.0,6,1,0,1,1,5,3
5061,4,120000,1,2,11,2016,2,1,15,8,23.4,1248,74.0,190.0,5.0,8,4,4,1,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,3
5062,4,90000,1,2,7,2016,2,1,13,9,24.4,1120,71.0,180.4,5.0,8,3,4,1,3995.0,1660.0,1520.0,2425.0,5,3,0,1,1,4,3
5064,0,76000,1,1,11,2011,2,3,2,8,18.6,1197,85.8,114.0,5.0,12,4,4,0,3850.0,1695.0,1530.0,2430.0,5,3,0,1,1,5,3
5065,0,30000,1,1,7,2022,2,3,2,9,20.7,1197,81.86,113.8,5.0,8,4,4,0,3805.0,1680.0,1520.0,2450.0,5,1,0,1,1,5,3
5068,0,64685,1,2,11,2016,2,3,26,9,22.38,1197,88.5,113.0,5.0,10,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5069,0,71003,1,2,11,2015,0,3,26,9,20.51,998,67.04,90.0,5.0,1,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5071,0,122617,1,1,7,2013,0,1,2,9,21.9,1396,88.76,219.6,5.0,10,4,4,0,3995.0,1710.0,1505.0,2525.0,6,3,0,0,1,5,3
5072,0,93593,1,1,7,2015,2,3,26,9,19.81,1086,68.05,99.04,5.0,11,4,3,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,5,3
5074,0,51216,1,1,7,2020,2,3,26,9,18.6,1197,81.86,117.0,5.0,11,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5076,0,61626,1,1,17,2021,2,1,26,9,23.64,1497,88.77,200.0,5.0,10,4,4,1,3990.0,1755.0,1523.0,2501.0,5,1,0,1,1,5,3
5077,0,47741,1,2,11,2016,0,3,26,8,21.4,1197,83.1,115.0,5.0,11,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,3
5078,0,63000,1,1,7,2014,2,3,26,9,18.9,1197,82.0,114.0,5.0,7,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5079,0,60894,1,1,15,2020,3,3,26,9,21.74,999,67.0,91.0,5.0,10,3,4,0,3731.0,1579.0,1474.0,2422.0,5,1,0,1,1,5,3
5081,0,51000,1,1,7,2012,2,3,2,9,19.81,1086,68.05,99.04,5.0,4,4,3,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,5,3
5082,0,110000,1,1,17,2016,2,3,26,9,23.84,1199,84.0,114.0,5.0,8,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,3
5088,0,15700,1,1,11,2020,3,3,26,9,21.01,1197,81.8,113.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,3
5089,3,81764,1,1,7,2018,2,3,26,9,13.0,1591,121.3,151.0,5.0,8,4,4,0,4270.0,1780.0,1630.0,2590.0,6,3,0,1,1,5,3
5092,0,85589,1,2,6,2015,2,3,26,9,18.7,1199,88.7,110.0,5.0,12,4,4,0,3955.0,1694.0,1544.0,2530.0,5,3,0,1,1,5,3
5093,0,72793,1,2,7,2017,0,3,26,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5095,0,95255,1,2,11,2014,2,3,26,9,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5097,0,89242,0,1,11,2018,3,3,26,9,21.4,1197,83.1,115.0,5.0,10,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,3
5098,0,40503,1,1,6,2012,0,3,2,9,19.4,1198,86.8,109.0,5.0,8,4,4,0,3610.0,1680.0,1500.0,2345.0,5,3,0,1,1,5,3
5100,4,96863,1,1,6,2018,2,3,26,9,19.5,1199,88.76,110.0,5.0,12,4,4,0,3995.0,1695.0,1501.0,2470.0,5,3,0,1,1,4,3
5101,3,30300,1,1,6,2021,2,3,26,9,16.5,1199,88.5,110.0,5.0,4,4,4,0,3999.0,1734.0,1601.0,2555.0,5,1,0,1,1,5,3
5103,4,120000,1,1,6,2014,2,1,2,8,25.8,1498,98.6,200.0,5.0,8,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5105,0,90000,1,1,11,2020,2,3,26,9,21.21,1197,81.8,113.0,5.0,8,4,4,0,3840.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5107,0,73000,1,2,7,2014,0,3,22,9,18.9,1197,82.0,114.0,5.0,4,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5109,4,32152,0,1,11,2018,3,3,26,9,21.21,1197,81.8,113.0,5.0,12,4,4,0,3995.0,1735.0,1515.0,2450.0,5,3,0,1,1,4,3
5110,0,58241,1,1,11,2015,0,1,26,9,25.2,1248,74.0,190.0,5.0,10,4,4,1,3840.0,1735.0,1530.0,2450.0,5,3,0,1,1,5,3
5113,4,59411,0,1,11,2017,3,3,26,9,21.21,1197,81.8,113.0,5.0,11,4,4,0,3995.0,1735.0,1515.0,2450.0,5,3,0,1,1,4,3
5116,0,103211,1,2,7,2012,2,3,26,8,20.36,1197,78.9,111.7,5.0,11,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,3
5117,0,113543,1,2,11,2012,2,3,2,9,18.9,998,67.1,90.0,5.0,12,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,3
5119,4,99334,1,1,11,2012,2,1,2,9,19.3,1248,73.9,190.0,5.0,12,4,4,1,4160.0,1690.0,1530.0,2390.0,5,3,0,1,1,4,3
5122,4,100000,1,2,6,2014,2,3,26,8,18.0,1198,86.7,109.0,5.0,8,4,4,0,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5124,4,110000,1,2,11,2019,2,1,26,8,19.95,1248,74.02,190.0,5.0,8,4,4,1,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,3
5126,4,76000,1,1,7,2011,2,3,2,9,17.43,1396,105.5,135.3,5.0,11,4,4,0,4375.0,1700.0,1475.0,2570.0,5,3,0,1,1,4,3
5128,0,71974,1,1,11,2017,2,3,26,9,21.4,1197,83.1,115.0,5.0,11,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,3
5129,3,105562,1,1,11,2016,2,1,26,9,24.3,1248,88.5,200.0,5.0,11,4,4,1,3995.0,1790.0,1640.0,2500.0,5,3,0,1,1,5,3
5131,3,1330,1,1,11,2023,2,3,26,9,19.89,1462,101.65,136.8,5.0,10,4,4,0,3995.0,1790.0,1685.0,2500.0,5,1,0,1,1,5,3
5132,4,30973,1,2,6,2021,2,3,26,9,18.6,1199,88.5,110.0,5.0,10,4,4,0,3995.0,1695.0,1498.0,2470.0,5,1,0,1,1,4,3
5133,0,100000,0,2,7,2011,2,3,2,9,16.95,1197,78.9,111.8,5.0,8,4,4,0,3585.0,1595.0,1550.0,2380.0,4,3,0,1,1,4,3
5134,0,9351,1,1,7,2018,2,3,26,9,18.6,1197,81.83,114.7,5.0,11,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5136,0,56133,1,2,11,2013,2,3,2,8,22.05,796,47.33,69.0,5.0,12,3,4,0,3445.0,1515.0,1475.0,2360.0,5,3,0,1,1,5,3
5137,0,92370,1,1,11,2013,0,3,2,9,24.39,998,65.71,89.0,5.0,11,3,4,0,3530.0,1490.0,1520.0,2380.0,5,3,0,1,1,5,3
5138,4,68000,1,1,18,2012,0,3,2,0,17.6,1496,81.8,113.0,5.0,11,4,4,0,3995.0,1695.0,1505.0,2425.0,5,3,0,1,1,5,3
5139,0,38313,1,1,11,2014,2,3,26,9,24.39,998,65.71,89.0,5.0,12,3,4,0,3530.0,1490.0,1520.0,2380.0,5,3,0,1,1,5,3
5140,4,110000,1,1,17,2019,2,1,26,8,22.95,1248,74.0,190.0,5.0,8,4,4,1,3995.0,1706.0,1570.0,2470.0,5,3,0,1,1,4,3
5142,4,80000,1,2,7,2015,2,3,29,9,17.01,1591,121.3,154.9,5.0,8,4,4,0,4375.0,1700.0,1475.0,2570.0,5,3,0,1,1,4,3
5146,0,70000,1,2,11,2018,2,3,26,9,21.4,1197,83.1,115.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,3
5147,0,53179,1,2,11,2014,2,3,26,9,24.39,998,65.71,89.0,5.0,11,3,4,0,3530.0,1490.0,1520.0,2380.0,5,3,0,1,1,5,3
5148,3,48902,1,1,17,2020,2,3,26,9,17.0,1198,108.5,170.0,5.0,4,3,4,1,3994.0,1811.0,1607.0,2498.0,6,3,0,1,1,5,3
5150,0,45025,0,1,7,2019,2,3,26,9,17.4,1197,81.86,117.0,5.0,1,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5151,0,22356,0,1,11,2017,2,3,26,9,21.4,1197,83.1,115.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,3
5153,0,35564,1,2,11,2019,0,3,26,9,25.24,998,65.71,89.0,5.0,11,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,3
5154,0,72632,1,1,3,2016,2,1,26,9,20.3,1248,75.0,197.0,5.0,4,4,4,1,3987.0,1687.0,1495.0,2510.0,5,3,0,1,1,5,3
5155,4,57349,1,1,18,2015,0,3,26,9,16.78,1496,88.73,132.0,5.0,7,4,4,0,4265.0,1695.0,1510.0,2550.0,5,3,0,1,1,4,3
5156,4,31915,1,1,6,2018,0,1,26,9,25.8,1498,98.6,200.0,5.0,11,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5158,0,44094,1,1,11,2010,0,3,2,9,18.9,998,67.1,90.0,5.0,11,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,3
5162,0,148914,1,2,17,2004,1,1,2,2,13.5,1405,81.8,113.0,5.0,4,4,4,0,3995.0,1695.0,1505.0,2425.0,5,3,0,1,1,5,3
5163,0,48000,0,1,11,2020,2,3,26,9,21.7,998,67.05,90.0,5.0,12,3,4,0,3565.0,1520.0,1564.0,2380.0,0,3,0,1,1,5,3
5165,4,33600,1,1,6,2018,0,1,26,9,27.4,1498,98.63,200.0,5.0,10,4,4,1,3995.0,1695.0,1501.0,2470.0,5,3,0,1,1,4,3
5167,0,47763,1,1,11,2012,2,3,2,9,18.9,998,67.1,90.0,5.0,11,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,3
5168,1,8368,1,1,15,2022,2,3,26,9,20.0,999,71.01,96.0,7.0,12,3,4,0,3991.0,1739.0,1643.0,2425.0,5,1,0,1,1,5,3
5170,4,40274,1,2,6,2014,2,3,2,9,18.0,1198,86.7,109.0,5.0,11,4,4,0,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5172,0,62648,1,1,11,2016,0,3,26,9,22.38,1197,88.5,113.0,5.0,10,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5173,0,58448,1,1,11,2017,0,3,26,9,21.4,1197,83.1,115.0,5.0,1,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,3
5174,0,40000,1,1,7,2022,2,3,26,9,20.7,1197,81.86,113.8,5.0,0,4,4,0,3805.0,1680.0,1520.0,2450.0,5,1,0,1,1,5,3
5175,3,88695,1,1,4,2017,2,1,26,9,22.77,1498,98.59,205.0,5.0,8,4,2,1,3999.0,1765.0,1708.0,2520.0,5,3,0,1,1,5,3
5177,4,99840,1,1,17,2014,1,1,26,9,20.65,1248,88.7,190.0,5.0,12,4,4,1,3995.0,1706.0,1570.0,2470.0,5,3,0,1,1,4,3
5178,0,120000,1,2,19,2012,2,1,2,9,22.07,1199,73.9,180.0,5.0,8,3,4,0,3970.0,1682.0,1453.0,2456.0,5,3,0,1,1,5,3
5181,4,20000,0,1,6,2018,2,3,26,9,18.1,1199,88.7,110.0,5.0,8,4,4,0,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5183,0,93407,1,2,17,2018,0,3,26,9,23.84,1199,84.0,114.0,5.0,12,3,4,0,3746.0,1647.0,1535.0,2400.0,5,3,0,1,1,5,3
5184,0,75932,1,2,11,2011,0,3,2,8,22.38,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5185,0,44000,0,1,19,2015,0,3,26,9,17.21,1197,103.5,175.0,5.0,4,4,4,1,3971.0,1682.0,1469.0,2469.0,7,3,0,1,1,5,3
5186,0,62936,0,1,7,2019,2,3,26,9,20.3,1086,68.0,99.0,5.0,10,4,3,0,3610.0,1645.0,1560.0,2400.0,5,3,0,1,1,5,3
5187,0,40841,1,1,7,2016,0,3,26,9,18.6,1197,81.83,114.7,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5188,4,150000,1,2,11,2016,2,1,26,9,26.59,1248,74.0,190.0,5.0,8,4,4,1,3995.0,1695.0,1555.0,2430.0,5,3,0,1,1,4,3
5189,0,66561,1,1,7,2017,2,3,26,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5190,0,114800,1,2,17,2016,2,1,26,8,25.0,1396,69.0,140.0,5.0,4,4,4,1,3690.0,1665.0,1485.0,2400.0,5,3,0,1,1,5,3
5191,0,97726,1,1,11,2016,2,3,26,8,25.24,998,65.71,89.0,5.0,11,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,3
5192,3,81462,1,1,4,2019,2,3,26,9,17.0,1497,121.31,150.0,5.0,10,3,4,0,3998.0,1765.0,1647.0,2519.0,5,3,0,1,1,4,3
5193,0,120000,1,1,17,2015,2,1,26,8,25.0,1396,69.0,140.0,5.0,8,4,4,1,3690.0,1665.0,1485.0,2400.0,5,3,0,1,1,5,3
5194,0,31286,0,1,11,2019,2,3,26,9,22.56,1197,88.5,113.0,5.0,11,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5195,0,20000,1,1,11,2022,2,3,29,9,22.35,1197,88.5,113.0,5.0,12,4,4,0,3990.0,1745.0,1500.0,2520.0,5,1,0,1,1,5,3
5196,0,20000,1,1,11,2022,2,3,26,9,22.35,1197,88.5,113.0,5.0,12,4,4,0,3990.0,1745.0,1500.0,2520.0,5,1,0,1,1,5,3
5198,4,54000,1,1,0,2013,2,3,2,9,18.2,1199,82.4,108.5,5.0,11,4,4,0,4249.0,1690.0,1503.0,2465.0,5,3,0,1,1,4,3
5200,0,20000,1,1,11,2020,2,3,26,9,21.01,1197,81.8,113.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,5,1,0,1,1,5,3
5204,0,73069,1,1,11,2015,2,3,26,9,25.24,998,65.71,89.0,5.0,12,3,4,0,3695.0,1655.0,1555.0,2435.0,5,1,0,1,1,5,3
5205,0,80000,1,1,11,2013,2,3,29,8,18.6,1197,85.8,114.0,5.0,8,4,4,0,3850.0,1695.0,1530.0,2430.0,5,3,0,1,1,5,3
5206,4,78850,1,1,11,2014,2,3,2,9,22.41,1197,88.5,113.0,5.0,12,4,4,0,3995.0,1735.0,1515.0,2450.0,5,1,0,1,1,4,3
5207,0,89224,1,2,7,2016,2,3,26,9,18.6,1197,81.83,114.7,5.0,10,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5209,0,59084,1,2,11,2017,0,3,26,9,20.51,998,67.04,90.0,5.0,12,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5210,0,70000,0,1,11,2016,2,3,26,9,20.51,998,67.0,90.0,5.0,4,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5211,0,59730,1,2,11,2013,2,3,2,9,18.9,998,67.1,90.0,5.0,11,3,4,0,3595.0,1495.0,1700.0,2400.0,5,3,0,1,1,4,3
5214,4,94426,1,1,11,2016,0,3,26,9,22.41,1197,88.5,113.0,5.0,11,4,4,0,3995.0,1735.0,1515.0,2450.0,5,1,0,1,1,4,3
5217,0,80000,0,1,19,2017,2,3,26,9,17.21,1197,103.5,175.0,5.0,8,4,4,1,3971.0,1682.0,1469.0,2469.0,7,3,0,1,1,5,3
5220,0,56000,1,1,11,2013,2,1,2,8,23.2,1248,73.94,190.0,5.0,11,4,4,1,3775.0,1680.0,1620.0,2360.0,5,3,0,1,1,5,3
5221,0,100000,1,1,3,2014,2,1,29,9,20.3,1248,75.0,197.0,5.0,0,4,4,1,3987.0,1687.0,1495.0,2510.0,5,3,0,1,1,5,3
5222,0,32289,0,2,7,2017,2,3,26,9,18.6,1368,98.63,132.3,5.0,12,4,4,0,3985.0,1734.0,1505.0,2570.0,4,3,0,1,1,5,3
5223,3,106467,0,1,17,2018,0,3,26,9,17.0,1198,108.5,170.0,5.0,1,3,4,1,3994.0,1811.0,1607.0,2498.0,6,3,0,1,1,5,3
5224,0,75000,1,1,11,2014,2,1,26,9,22.9,1248,74.0,190.0,5.0,4,4,4,1,3850.0,1695.0,1530.0,2430.0,5,3,0,1,1,5,3
5227,4,100000,1,2,6,2014,2,3,29,8,18.0,1198,86.7,109.0,5.0,8,4,4,0,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5228,3,121129,1,2,11,2017,2,1,26,9,24.3,1248,88.5,200.0,5.0,13,4,4,1,3995.0,1790.0,1640.0,2500.0,5,3,0,1,1,5,3
5229,0,40000,1,2,11,2020,2,3,26,9,20.89,1197,81.8,113.0,5.0,8,4,4,0,3700.0,1690.0,1595.0,2435.0,5,1,0,1,1,5,3
5230,3,72607,1,1,10,2016,2,1,12,9,25.32,1198,77.0,190.0,5.0,10,3,4,1,3675.0,1715.0,1655.0,2385.0,5,3,0,1,1,5,3
5231,0,28467,1,2,7,2016,2,3,26,9,18.9,1197,82.0,114.0,5.0,10,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5234,0,37665,0,1,11,2017,1,3,26,9,21.4,1197,83.1,115.0,5.0,4,4,4,0,3995.0,1745.0,1510.0,2520.0,0,3,0,1,1,5,3
5236,0,50000,1,2,11,2014,2,3,29,9,20.51,998,67.04,90.0,5.0,8,3,4,0,3599.0,1495.0,1700.0,2400.0,5,3,0,1,1,5,3
5237,4,110000,1,1,6,2018,2,1,26,9,25.8,1498,98.6,200.0,5.0,8,4,4,1,3990.0,1680.0,1505.0,2405.0,5,3,0,1,1,4,3
5240,0,85000,1,1,7,2016,2,1,26,9,24.0,1120,70.0,160.0,5.0,11,3,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5242,0,94540,1,1,11,2014,2,3,26,9,22.38,1197,88.5,113.0,5.0,10,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5243,3,96620,1,1,7,2018,0,3,26,9,13.0,1591,121.3,151.0,5.0,12,4,4,0,4270.0,1780.0,1630.0,2590.0,6,3,0,1,1,5,3
5245,0,104436,0,2,7,2016,2,3,26,9,18.9,1197,82.0,114.0,5.0,11,4,4,0,3765.0,1660.0,1520.0,2425.0,4,3,0,1,1,5,3
5246,0,28545,1,1,2,2017,2,3,26,9,22.7,799,53.64,72.0,5.0,2,3,4,0,3429.0,1560.0,1541.0,2348.0,5,3,0,1,1,5,3
5247,0,66500,1,1,19,2019,2,3,26,9,18.78,999,75.0,95.0,5.0,10,3,4,0,3971.0,1682.0,1469.0,2469.0,5,3,0,1,1,5,3
5248,0,80133,1,1,7,2017,2,3,26,9,18.6,1197,81.83,114.7,5.0,8,4,4,0,3985.0,1734.0,1505.0,2570.0,5,3,0,1,1,5,3
5250,3,26852,1,1,11,2020,2,3,26,9,18.55,1462,103.25,138.0,5.0,1,4,4,0,4300.0,1785.0,1595.0,2600.0,5,3,0,0,1,5,3
5251,0,59990,1,1,11,2015,2,3,26,9,22.38,1197,88.5,113.0,5.0,8,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5254,0,50000,1,2,7,2019,2,3,26,9,18.9,1197,81.86,113.75,5.0,8,4,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5256,0,70000,1,2,11,2018,2,3,26,9,21.4,1197,83.1,115.0,5.0,8,4,4,0,3995.0,1745.0,1510.0,2520.0,5,3,0,1,1,5,3
5261,0,50824,1,1,11,2013,2,3,2,9,22.38,1197,88.5,113.0,5.0,8,4,4,0,3845.0,1735.0,1530.0,2450.0,5,1,0,1,1,5,3
5262,0,85507,1,2,11,2013,2,1,2,9,22.9,1248,74.0,190.0,5.0,8,4,4,1,3850.0,1695.0,1530.0,2430.0,5,3,0,1,1,5,3
5264,0,75773,1,2,11,2014,0,3,26,9,18.5,1197,85.8,114.0,5.0,8,4,4,0,3775.0,1680.0,1620.0,2360.0,5,3,0,1,1,5,3
5265,0,62000,1,1,7,2016,2,1,26,8,24.0,1120,70.0,160.0,5.0,11,3,4,0,3765.0,1660.0,1520.0,2425.0,5,3,0,1,1,5,3
5266,0,47004,1,1,7,2012,2,3,2,8,20.36,1197,78.9,111.7,5.0,10,4,4,0,3585.0,1595.0,1550.0,2380.0,5,3,0,1,1,4,3
