,bt,km,transmission,ownerNo,oem,modelYear,price,Insurance Validity,Fuel Type,Features,Mileage,Engine,Max Power,Torque,Color,No of Cylinder,Values per Cylinder,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,City
1088,Hatchback,77000,Manual,2,Volkswagen,2014,509999.0,Comprehensive,Diesel,9,22.07,1199.0,73.9,180.0,gray,3.0,4.0,No,3970.0,1682.0,1453.0,2456.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1089,Hatchback,48285,Manual,1,Hyundai,2017,658000.0,Comprehensive,Petrol,9,18.6,1197.0,81.83,114.7,silver,4.0,4.0,No,3985.0,1734.0,1505.0,2570.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1090,Hatchback,19062,Manual,1,Renault,2021,513999.0,Comprehensive,Petrol,9,21.74,999.0,67.0,91.0,white,3.0,4.0,No,3731.0,1579.0,1490.0,2422.0,5.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1091,Hatchback,70000,Automatic,2,Hyundai,2011,330000.0,Third Party,Petrol,9,16.95,1197.0,78.9,111.8,others,4.0,4.0,No,3585.0,1595.0,1550.0,2380.0,4.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1092,Sedan,120000,Automatic,2,Mercedes-Benz,2015,2250000.0,Third Party,Diesel,9,13.0,2143.0,201.1,500.0,others,4.0,4.0,Yes,4879.0,2071.0,1474.0,2874.0,7.0,5.0,Power,Disc,Disc,Tubeless,4.0,Bangalore
1093,Hatchback,10000,Manual,1,Citroen,2022,950000.0,Third Party,Petrol,9,19.3,1199.0,108.62,190.0,white,3.0,4.0,Yes,3981.0,1733.0,1586.0,2540.0,6.0,5.0,Electronic,Disc,Drum,Tubeless,5.0,Bangalore
1094,Hatchback,80000,Manual,3,Volkswagen,2014,495000.0,Third Party,Petrol,9,16.47,1198.0,74.0,110.0,blue,3.0,4.0,No,3971.0,1682.0,1469.0,2469.0,5.0,5.0,Power,Disc,Drum,Tubeless,5.0,Bangalore
1095,Hatchback,80000,Manual,2,Fiat,2007,110000.0,Third Party,Petrol,8,15.5,1108.0,103.7259811197063,9.4,silver,4.0,2.0,No,3.0,1.0,1.0,2.0,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1096,Sedan,87000,Manual,1,Toyota,2011,330000.0,Comprehensive,Petrol,0,17.6,1496.0,88.73,132.0,red,4.0,4.0,No,4066.5465673902063,1716.1002525252525,1556.269308430086,2515.9687699171445,5.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
1097,Sedan,80000,Automatic,1,Volkswagen,2016,775000.0,Third Party,Diesel,9,22.15,1498.0,108.6,250.0,others,4.0,4.0,Yes,4390.0,1699.0,1467.0,2553.0,7.0,5.0,Power,Disc,Drum,Tubeless,4.0,Bangalore
